Immutable Levels:
0 - File doesn't exist, completely open to any change
1 - File exists, but it's completely open to any change
2 - File exists, content is decent, but can be changed
3 - File exists, content is pristine, try to avoid modifying if possible
4 - File exists, content is untouchable

|Number|Title|Immutable Level|Notes|
|000|Preamble|2||
|101|Department Mission and Strategic Objectives|2||
|102|Code of Ethics and Professional Conduct|2||
|103|Standard Operating Ethos|2||
|104|Policy and Documentation Formatting Standards|3|Only Policy Format, Procedure and Playbook Format needs updating|
|105|Policy Review and Update Procedures|2||
|106|IT Governance and Oversight Structure|2||
|107|Workforce Roles, Responsibilities, and Competency Framework|2||
|108|Delegation of Authority and Decision Rights|2||
|109|Risk Management Policy|2||
|110|IT Financial Management and Procurement Policy|2||
|111|Data Governance and Classification Policy|2||
|112|IT Asset Management Policy|2||
|113|Supply Chain Risk Management (SCRM) and Vendor Governance|2||
|114|Stakeholder Engagement and Communications Policy|2||
|201|Acceptable Use of Information Technology Resources Policy|2||
|202|Personnel Security and Background Screening Policy|2||
|203|Security Awareness and Training Policy|2||
|204|Access Control Policy|2||
|205|Identification and Authentication Policy|2||
|206|Privacy and Data Protection Policy|2||
|207|System and Communications Protection Policy|2||
|208|System Integrity and Malware Protection Policy|2||
|209|Vulnerability and Patch Management Policy|2||
|210|Secure Configuration Baselines and Hardening Policy|2||
|211|Audit Logging and Monitoring Policy|2||
|212|Media Protection and Sanitization Policy|2||
|213|Physical Security and Environmental Controls Policy|2||
|214|Mobile Device and Remote Access Policy|2||
|215|System Development and Secure Software Lifecycle Policy|2||
|301|Service Catalog and SLA Policy|2||
|302|Service Level Management and Metrics Reporting|2||
|303|End-User Communication Standards|2||
|304|Service Delivery Feedback and Grievance Policy|2||
|305|Service Request Fulfillment Policy|2||
|306|Operational Incident Management Policy|2||
|307|Problem Management Policy|2||
|308|Service Configuration Management (CMDB) Policy|2||
|309|Change Management Policy|2||
|310|Release and Deployment Policy|2||
|311|Capacity and Availability Management Policy|2||
|312|Monitoring and Event Management Policy|2||
|313|Knowledge Management Policy|2||
|314|IT Project Management Policy|2||
|315|Service Continuity and Contingency Planning Policy|2||
|316|Service Improvement and Continual Improvement Plan|2||
|317|System Maintenance and Vendor Repairs|2||
|401|Incident Response Policy Overview|2||
|402|Identification and Reporting Procedures|2||
|403|Containment Strategy and Playbooks|2||
|404|Eradication Procedures and Scenario Guides|0||
|405|Recovery Operations and Restoration Prioritization|0||
|406|Communication Protocols and Partner Integration|0||
|407|Postmortem Review and Lessons Learned|0||
|408|Incident Response Roles and Contact Directory|2||
|501|Policy Implementation, Enforcement, and Legal Alignment|3||
|502|Internal Audits, Self-Assessment, and Control Testing|3||
|503|Compliance Monitoring and Corrective Action|3||
|504|Performance Metrics and Operational KPIs|3||
|505|Security Control Assessment and Authorization|3||
|506|Vendor Compliance and Third-Party Assurance|0||
|507|Annual Policy Review and Maturity Scoring|0||
|601|Glossary and Definitions|0||
|602|Policy Matrix|0||
|603|Workforce Roles STAK Matrix|2||
|604|Work Order Structure and Standards|2||
|605|Revision History and Version Control|0||
